visual_material,candidate_sionna_material,old_confidence,old_reason,strict_reason,slot_count,object_count,face_count,texture_files,objects_preview,required_action
MetalWood_Trim_Building_8,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,4,4,1200,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
MetalWood_Trim_Building_9,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,1,1,5934,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
MetalWood_Trim_Prop,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,1,1,5934,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_30mx15m_01_5storey0_PropNode,manual confirm or create custom Sionna material
Roof_Asphalt1_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,3,3,48,Roof_Asphalt_Diff.png;Roof_Asphalt_Norm.png;Roof_Asphalt_Spec.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,manual confirm or create custom Sionna material
Roof_Asphalt1_Building_1,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,2,2,72,Roof_Asphalt_Diff.png;Roof_Asphalt_Norm.png;Roof_Asphalt_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,manual confirm or create custom Sionna material
Roof_Asphalt1_Building_2,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,1,1,32,Roof_Asphalt_Diff.png;Roof_Asphalt_Norm.png;Roof_Asphalt_Spec.png,Downtown_30mX30m_02_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
Roof_Asphalt1_Building_3,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,4,4,144,Roof_Asphalt_Diff.png;Roof_Asphalt_Norm.png;Roof_Asphalt_Spec.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,manual confirm or create custom Sionna material
Roof_Asphalt2_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,6,6,480,Roof_Asphalt_Diff.png;Roof_Asphalt_Norm.png;Roof_Asphalt_Spec.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
Roof_Asphalt3_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,3,3,36,Roof_Asphalt_Diff.png;Roof_Asphalt_Norm.png;Roof_Asphalt_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
Roof_Asphalt3_Building_1,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,6,6,48,Roof_Asphalt_Diff.png;Roof_Asphalt_Spec.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
Roof_Bitumen1_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,2,2,98,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
Roof_Bitumen36_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,5,5,50,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_1,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,4,4,392,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_30mX45m_Corner_5storey_mesh_BuildingNode;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.001;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.002;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.003,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_2,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,3,3,6,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_3,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,2,2,4,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_4,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,1,1,2,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_30mX30m_02_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_5,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,1,1,34,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,_30mX30m_8storey_mesh_BuildingNode,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_6,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,2,2,76,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_7,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,1,1,10,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_8,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,3,3,54,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002,manual confirm or create custom Sionna material
Roof_Bitumen36_Building_9,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,4,4,8,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,manual confirm or create custom Sionna material
Roof_Bitumen36_Prop,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,1,1,18,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_30mx15m_01_5storey0_PropNode,manual confirm or create custom Sionna material
Roof_Bitumen37_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,3,3,228,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
Roof_Bitumen37_Building_1,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,2,2,64,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,manual confirm or create custom Sionna material
Roof_Bitumen4_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,1,1,6,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode,manual confirm or create custom Sionna material
Roof_Bitumen4_Building_1,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,6,6,432,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
Roof_Bitumen5_Building,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,12,12,432,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,manual confirm or create custom Sionna material
Roof_Bitumen5_Building_1,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,5,5,180,Roof_Bitumen_Diff.png;Roof_Bitumen_Norm.png;Roof_Bitumen_Spec.png,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,manual confirm or create custom Sionna material
SanDiego_Building_Props_01_Prop,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,6,6,492,SandiegoProps_Diff.png;SandiegoProps_Norm.png;SandiegoProps_Spec.png,Planter01_PropNode;Planter01_PropNode.001;Planter01_PropNode.002;Planter01_PropNode.003;Planter01_PropNode.004;Planter01_PropNode.005,manual confirm or create custom Sionna material
SanDiego_Building_Props_01_Prop_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,2088,SandiegoProps_Diff.png;SandiegoProps_Norm.png;SandiegoProps_Spec.png,Triangle_Ad_PropNode;Triangle_Ad_PropNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_02_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,3,3,2634,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,manual confirm or create custom Sionna material
SanDiego_Building_Props_03_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,3836,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_03_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,6,6,24558,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
SanDiego_Building_Props_05_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,3912,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,manual confirm or create custom Sionna material
SanDiego_Building_Props_07_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,9316,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_07_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,3400,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_13_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,4,4,18632,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,manual confirm or create custom Sionna material
SanDiego_Building_Props_19_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,2254,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_19_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,12,12,63012,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,manual confirm or create custom Sionna material
SanDiego_Building_Props_19_Building_2,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,6,6,42486,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
SanDiego_Building_Props_19_Building_3,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,6,6,25122,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
SanDiego_Building_Props_28_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,1976,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,5,5,15120,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,3521,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_10,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,4,4,1096,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_2,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,12,12,43704,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_3,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,3,3,4401,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_4,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,3080,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_5,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,548,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_6,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,2054,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mX30m_02_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_7,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,16,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_8,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,3024,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_9,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,3,3,18396,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Prop,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,6132,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mx15m_01_5storey0_PropNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_30_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,6,6,16722,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
SanDiego_Building_Props_30_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,5434,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,_30mX30m_8storey_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_30_Building_2,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,5320,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_31_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,3,3,1104,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
SanDiego_Building_Props_32_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,5,5,23955,,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,manual confirm or create custom Sionna material
SanDiego_Building_Props_32_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,4,4,3992,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mX45m_Corner_5storey_mesh_BuildingNode;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.001;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.002;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.003,manual confirm or create custom Sionna material
